Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-14T05:55:49.298Z","","","Included","composer-2.5-fast","No","0","2230","68642","580","71452","Included"
"2026-06-14T05:53:18.883Z","","","Included","composer-2.5-fast","No","0","142648","1027744","19222","1189614","Included"
"2026-06-14T05:52:22.821Z","","","Included","composer-2.5-fast","No","0","61489","1258642","6831","1326962","Included"
"2026-06-14T05:46:02.504Z","","","Included","composer-2.5-fast","No","0","2312","347329","1315","350956","Included"
"2026-06-14T05:44:34.916Z","","","Included","composer-2.5-fast","No","0","168611","2019149","5065","2192825","Included"
"2026-06-14T05:41:26.555Z","","","Included","composer-2.5-fast","No","0","154571","6596","1761","162928","Included"
"2026-06-14T04:57:21.856Z","","","Included","gpt-5.3-codex","No","0","555","122112","878","123545","Included"
"2026-06-14T04:56:49.722Z","","","Included","gpt-5.3-codex","No","0","5480","116736","500","122716","Included"
"2026-06-14T04:55:29.399Z","","","Included","gpt-5.3-codex","No","0","8928","229760","982","239670","Included"
"2026-06-14T04:54:37.968Z","","","Included","gpt-5.3-codex","No","0","3952","340224","1872","346048","Included"
"2026-06-14T04:53:43.872Z","","","Included","gpt-5.3-codex","No","0","313","111872","520","112705","Included"
"2026-06-14T04:52:57.680Z","","","Included","gpt-5.3-codex","No","0","369","111488","180","112037","Included"
"2026-06-14T04:52:24.779Z","","","Included","gpt-5.3-codex","No","0","447","111104","260","111811","Included"
"2026-06-14T04:51:57.051Z","","","Included","gpt-5.3-codex","No","0","452","110720","339","111511","Included"
"2026-06-14T04:51:30.984Z","","","Included","gpt-5.3-codex","No","0","594","110208","323","111125","Included"
"2026-06-14T04:49:56.229Z","","","Included","gpt-5.3-codex","No","0","1802","108544","691","111037","Included"
"2026-06-14T04:46:05.020Z","","","Included","gpt-5.3-codex","No","0","2077","326272","1163","329512","Included"
"2026-06-14T04:41:51.675Z","","","Included","gpt-5.3-codex","No","0","884","214912","1085","216881","Included"
"2026-06-14T04:40:49.045Z","","","Included","gpt-5.3-codex","No","0","124","106624","741","107489","Included"
"2026-06-14T04:40:02.200Z","","","Included","gpt-5.3-codex","No","0","1886","104576","227","106689","Included"
"2026-06-14T04:39:04.118Z","","","Included","gpt-5.3-codex","No","0","2354","208512","687","211553","Included"
"2026-06-14T04:37:12.180Z","","","Included","gpt-5.3-codex","No","0","3298","100480","1306","105084","Included"
"2026-06-14T04:35:32.044Z","","","Included","gpt-5.3-codex","No","0","3413","508416","1874","513703","Included"
"2026-06-14T04:34:18.389Z","","","Included","gpt-5.3-codex","No","0","21677","279296","1085","302058","Included"
